*2010,1/3/2011,,,,
3, -,Anthony Kim,70,3220,46
4, -,Brian Gay,70.03,4412,63
5, -,Phil Mickelson,70.1,2874,41
6, -,Stephen Marino,70.18,4632,66
7, -,Robert Allenby,70.21,3932,56
8, -,Dudley Hart,70.29,3163,45
9, -,Charlie Wi,70.3,4007,57
10, -,Ben Crane,70.31,3586,51
11, -,Kevin Streelman,70.37,4715,67
12, -,Camilo Villegas,70.38,2956,42
13, -,John Huston,70.39,2534,36
14, -,Kevin Sutherland,70.4,3872,55
15, -,Justin Leonard,70.45,3593,51
T16, -,Billy Mayfair,70.48,4229,60
T16, -,Kevin Na,70.48,4229,60
T18, -,Jim Furyk,70.49,3595,51
T18, -,Vijay Singh,70.49,3172,45
T20, -,Sergio Garcia,70.5,2538,36
T20, -,Carl Pettersson,70.5,4230,60
22, -,Gavin Coles,70.53,2257,32
23, -,Bob Tway,70.55,2963,42
24, -,Ryan Palmer,70.58,3176,45
T25, -,Stewart Cink,70.59,3247,46
T25, -,Ken Duke,70.59,4871,69
27, -,Tommy Armour III,70.61,3460,49
T28, -,Brian Davis,70.62,4802,68
T28, -,Frank Lickliter II,70.62,4590,65
T28, -,Patrick Sheehan,70.62,5155,73
T31, -,Shane Bertsch,70.63,4167,59
T31, -,John Mallinger,70.63,3955,56
33, -,Chez Reavie,70.65,4380,62
T34, -,Stuart Appleby,70.66,3109,44
T34, -,Tom Pernice jr.,70.66,4310,61
36, -,Stephen Ames,70.67,3251,46
37, -,Mark Wilson,70.68,4170,59
38, -,Nick Watney,70.71,3889,55
39, -,Steve Elkington,70.75,3608,51
40, -,John Merrick,70.78,4176,59
41, -,Lucas Glover,70.83,3825,54
T42, -,Chad Campbell,70.84,4038,57
T42, -,Corey Pavin,70.84,3046,43
T44, -,Ben Curtis,70.86,3118,44
T44, -,Vaughn Taylor,70.86,4677,66
T46, -,Mathew Goggin,70.88,4040,57
T46, -,John Riegger,70.88,3402,48
T46, -,Chris Riley,70.88,2410,34
T49, -,Martin Laird,70.9,4325,61
T49, -,Scott Verplank,70.9,3403,48
T49, -,Mike Weir,70.9,3616,51
T52, -,Parker McLachlin,70.91,3900,55
T52, -,D.J. Trahan,70.91,4042,57
54, -,Heath Slocum,70.93,4256,60
55, -,Tim Herron,70.95,4186,59
T56, -,Jeff Maggert,70.96,4045,57
T56, -,Pat Perez,70.96,3761,53
T56, -,John Senden,70.96,3974,56
T59, -,Jeff Overton,70.98,4614,65
T59, -,Bo Van Pelt,70.98,4543,64
T61, -,Brad Elder,71,3479,49
T61, -,Bill Haas,71,4544,64
T61, -,Matthew Jones,71,4615,65
T61, -,Rory Sabbatini,71,3124,44
T65, -,Brad Adamonis,71.02,4261,60
T65, -,Bob Estes,71.02,3977,56
T65, -,Matt Kuchar,71.02,4048,57
T68, -,Michael Allen,71.04,4049,57
T68, -,Todd Demsey,71.04,3765,53
70, -,Glen Day,71.05,2771,39
T71, -,Jason Gore,71.09,4550,64
T71, -,Dean Wilson,71.09,4692,66
T73, -,Zach Johnson,71.1,3413,48
T73, -,George McNeill,71.1,4195,59
75, -,Omar Uresti,71.12,3627,51
T76, -,Fred Couples,71.14,2632,37
T76, -,Carlos Franco,71.14,3557,50
T78, -,Peter Lonard,71.15,4198,59
T78, -,Scott Sterling,71.15,4198,59
T80, -,Brett Quigley,71.16,3558,50
T80, -,Tag Ridings,71.16,4341,61
T80, -,David Toms,71.16,2704,38
83, -,Woody Austin,71.17,4270,60
T84, -,Joe Ogilvie,71.18,4342,61
T84, -,Brenden Pappas,71.18,3488,49
T84, -,Bubba Watson,71.18,4271,60
T87, -,Eric Axley,71.19,5197,73
T87, -,Nick O'Hern,71.19,3417,48
T89, -,Lee Janzen,71.2,4201,59
T89, -,Brandt Snedeker,71.2,3631,51
91, -,Jesper Parnevik,71.22,4131,58
T92, -,Cameron Beckman,71.23,4060,57
T92, -,Marc Turnesa,71.23,4345,61
T92, -,Boo Weekley,71.23,3419,48
T95, -,Aaron Baddeley,71.24,2992,42
T95, -,J.J. Henry,71.24,5058,71
T97, -,Steve Flesch,71.25,4275,60
T97, -,Charley Hoffman,71.25,4346,61
99, -,Tim Clark,71.26,3777,53
100, -,Robert Garrigus,71.27,3991,56
T101, -,Kent Jones,71.28,3350,47
