*2010,1/3/2011,,,,,
27,27,Padraig Harrington,70.23,4618,-53.11,65
28,28,Justin Leonard,70.24,5824,5.645,83
29,29,Camilo Villegas,70.29,5170,-38.845,73
30,T41,George McNeill,70.3,5364,-21.396,76
T31,31,Jason Dufner,70.31,6343,-15.387,90
T31,T32,Mark Wilson,70.31,6675,4.899,95
33,T32,Geoff Ogilvy,70.32,5089,-26.223,72
T34,36,Brian Gay,70.36,6472,0.835,92
T34,35,Mike Weir,70.36,5650,-21.008,80
T36,30,Bryce Molder,70.37,4573,1.21,65
T36,T41,Brandt Snedeker,70.37,5431,-12.137,77
T36,34,Bo Van Pelt,70.37,6460,14.033,92
39,T38,Dustin Johnson,70.41,5920,-5.202,84
40,T41,J.J. Henry,70.42,6562,-13.02,93
T41,37,Stephen Ames,70.43,4725,-6.34,67
T41,T56,Charley Hoffman,70.43,6681,9.987,95
T41,T38,Charles Howell III,70.43,6711,-20.151,95
T41,45,Boo Weekley,70.43,5458,-35.131,77
T45,T54,Ben Crane,70.45,5996,-7.927,85
T45,T54,Fredrik Jacobson,70.45,5435,-10.097,77
T47,T47,Stewart Cink,70.46,5190,-46.076,73
T47,T38,Harrison Frazar,70.46,6105,24.686,87
T47,T47,Y.E. Yang,70.46,5870,-21.819,83
50,T50,Justin Rose,70.48,4684,-32.313,66
51,T66,Chad Campbell,70.49,6057,5.545,86
52,46,Briny Baird,70.5,5839,12.746,83
T53,49,Anthony Kim,70.51,5226,-8.492,74
T53,T41,Davis Love III,70.51,6077,-13.505,86
T55,T50,Woody Austin,70.53,5937,-12.698,84
T55,T63,Greg Chalmers,70.53,5674,38.935,81
T55,T63,Kevin Streelman,70.53,6416,2.252,91
58,61,Bubba Watson,70.54,5025,-16.987,71
59,T52,Bill Haas,70.55,6128,9.423,87
60,T56,Kevin Sutherland,70.56,6577,-15.211,93
T61,62,Bob Estes,70.57,5498,6.301,78
T61,T63,Chris Riley,70.57,4849,20.255,69
63,T52,Marc Leishman,70.59,6425,-1.596,91
T64,T59,Michael Letzig,70.61,6480,16.291,92
T64,T66,James Nitties,70.61,5936,-4.722,84
T64,T59,Nick O'Hern,70.61,5796,-6.081,82
T64,T66,Rod Pampling,70.61,5030,-16.933,71
T64,T56,Rory Sabbatini,70.61,5377,-10.644,76
69,71,Charlie Wi,70.63,6062,12.16,86
T70,T73,Michael Allen,70.66,4874,1.577,69
T70,T73,Vijay Singh,70.66,4908,-32.301,69
72,T78,John Mallinger,70.67,5946,-9.598,84
T73,70,Paul Goydos,70.68,5194,-34.313,73
T73,T66,Heath Slocum,70.68,6289,1.834,89
T73,T75,Scott Sterling,70.68,3596,8.839,51
76,77,Fred Couples,70.69,3539,-4.268,50
77,83,Tag Ridings,70.7,3516,18.808,50
T78,T78,Jonathan Byrd,70.72,5708,19.99,81
T78,T89,Ryan Moore,70.72,6004,7.074,85
T78,72,Jeff Overton,70.72,6124,-42.107,86
T78,80,Corey Pavin,70.72,4866,13.485,69
T82,T86,Chris DiMarco,70.73,6286,8.843,89
T82,T81,Tom Lehman,70.73,3377,-52.577,47
T82,T81,Kevin Stadler,70.73,4578,19.569,65
85,T96,Matt Weibring,70.75,4153,21.322,59
T86,T75,Brian Davis,70.76,6717,4.879,95
T86,T99,Jeff Klauk,70.76,6287,10.72,89
T86,T96,Tim Petrovic,70.76,6417,22.433,91
T89,T86,Lee Janzen,70.77,5083,12.592,72
T89,T84,Ted Purdy,70.77,6577,4.826,93
T91,T101,Jason Bohn,70.79,5914,32.693,84
T91,T94,Bill Lunde,70.79,5582,10.581,79
93,88,Matt Jones,70.8,3520,19.846,50
94,T91,Greg Owen,70.81,6274,28.33,89
T95,93,Robert Garrigus,70.82,5428,25.007,77
T95,T89,Scott McCarron,70.82,6149,12.364,87
97,T84,Cameron Beckman,70.83,5728,9.154,81
98,T96,Mathew Goggin,70.84,5119,-18.802,72
99,T91,Vaughn Taylor,70.85,5929,22.815,84
100,T94,Brett Quigley,70.87,5950,2.697,84
T101,T101,Spencer Levin,70.88,4732,17.03,67
T101,T101,Patrick Sheehan,70.88,3315,16.486,47
T101,106,Chris Stroud,70.88,5939,14.722,84
T104,T109,Scott Piercy,70.89,5864,19.885,83
T104,T111,D.J. Trahan,70.89,6212,26.503,88
106,T99,Cliff Kresge,70.91,5242,5.27,74
T107,T111,Tim Herron,70.94,5591,12.869,79
T107,T111,Troy Matteson,70.94,6442,13.252,91
109,108,John Merrick,70.97,6030,2.843,85
T110,T109,Ben Curtis,70.98,4441,-40.378,62
T110,104,Webb Simpson,70.98,6237,8.993,88
T112,105,Joe Ogilvie,70.99,5581,27.035,79
T112,107,Jeev M. Singh,70.99,3419,-11.328,48
114,115,Charles Warren,71.01,4181,8.297,59
T115,T111,Richard S. Johnson,71.02,5595,15.744,79
T115,116,Pat Perez,71.02,4831,-1.936,68
117,117,Steve Flesch,71.04,5050,-6.297,71
118,122,Rich Beem,71.05,5029,15.35,71
T119,120,Ryuji Imada,71.09,5907,-6.401,83
T119,T126,Dean Wilson,71.09,5303,28.428,75
121,124,D.A. Points,71.1,6460,10.502,91
T122,118,Tommy Armour III,71.12,3835,5.489,54
T122,119,Rocco Mediate,71.12,5212,-20.204,73
T124,T130,Aaron Baddeley,71.13,4493,-11.59,63
T124,T132,Alex Cejka,71.13,5539,9.206,78
T126,123,Brendon de Jonge,71.14,5956,20.174,84
T126,T132,Steve Elkington,71.14,4529,24.051,64
T128,T126,Bart Bryant,71.18,4137,-8.712,58
T128,T126,James Driscoll,71.18,3489,-1.089,49
T128,121,Aron Price,71.18,5751,14.308,81
T131,129,Joe Durant,71.19,4243,28.344,60
T131,144,Bob Heintz,71.19,3743,29.841,53
T133,T130,K.J. Choi,71.2,4577,-19.882,64
T133,125,Jeff Maggert,71.2,5177,20.283,73
135,145,Tom Pernice jr,71.21,5253,16.493,74
136,T134,John Rollins,71.22,6125,0.34,86
137,136,Shaun Micheel,71.23,3498,-7.519,49
T138,T137,Tommy Gainey,71.24,3268,9.209,46
T138,T137,Jonathan Kaye,71.24,3486,4.63,49
140,T134,David Mathis,71.26,5542,16.238,78
T141,143,Nathan Green,71.27,7118,9.127,100
T141,T140,Jarrod Lyle,71.27,4332,15.571,61
T143,146,Kris Blanks,71.35,3815,38.07,54
T143,150,Daniel Chopra,71.35,5898,24.056,83
145,139,Glen Day,71.36,5179,30.143,73
146,142,Jimmy Walker,71.37,4899,25.556,69
T147,T140,Matt Bettencourt,71.38,6558,8.917,92
T147,T148,Ken Duke,71.38,5765,16.488,81
T147,T148,Jeff Quinney,71.38,5114,25.318,72
T147,T152,Johnson Wagner,71.38,5189,21.569,73
151,T163,Martin Laird,71.41,4840,15.572,68
152,T152,Brad Adamonis,71.42,4695,18.513,66
153,T155,Jay Williamson,71.45,4475,26.266,63
154,151,Ricky Barnes,71.46,4223,-7.11,59
155,T155,Casey Wittenberg,71.48,4618,27.875,65
156,T152,J.B. Holmes,71.49,5184,-36.717,72
157,T158,Stuart Appleby,71.51,5324,-32.593,74
